,Entity,Code,Year,Population (historical estimates)
37286,Niger,NER,2021,25252722
37545,Nigeria,NGA,2021,213401328
37617,Niue,NIU,2021,1957
37876,North America,,2021,597123384
38135,North Korea,PRK,2021,25971910
38394,North Macedonia,MKD,2021,2103329
38466,Northern America (UN),,2021,375278944
38540,Northern Mariana Islands,MNP,2021,49503
38799,Norway,NOR,2021,5403021
39058,Oceania,,2021,44492065
39130,Oceania (UN),,2021,44491724
39389,Oman,OMN,2021,4520474
39648,Pakistan,PAK,2021,231402112
39870,Palau,PLW,2021,18050
40092,Palestine,PSE,2021,5133393
40351,Panama,PAN,2021,4351264
40610,Papua New Guinea,PNG,2021,9949438
40869,Paraguay,PRY,2021,6703802
41128,Peru,PER,2021,33715464
41387,Philippines,PHL,2021,113880336
41646,Poland,POL,2021,38307724
41905,Portugal,PRT,2021,10290109
42025,Puerto Rico,PRI,2021,3256030
42284,Qatar,QAT,2021,2688239
42383,Reunion,REU,2021,966132
42642,Romania,ROU,2021,19328558
42901,Russia,RUS,2021,145102752
43160,Rwanda,RWA,2021,13461891
43236,Saint Barthelemy,BLM,2021,10888
43320,Saint Helena,SHN,2021,5428
43568,Saint Kitts and Nevis,KNA,2021,47631
43827,Saint Lucia,LCA,2021,179663
43901,Saint Martin (French part),MAF,2021,31964
44011,Saint Pierre and Miquelon,SPM,2021,5905
44260,Saint Vincent and the Grenadines,VCT,2021,104340
44509,Samoa,WSM,2021,218781
44731,San Marino,SMR,2021,33772
44990,Sao Tome and Principe,STP,2021,223118
45249,Saudi Arabia,SAU,2021,35950396
45508,Senegal,SEN,2021,16876726
45767,Serbia,SRB,2021,7296771
46048,Seychelles,SYC,2021,106486
46307,Sierra Leone,SLE,2021,8420642
46566,Singapore,SGP,2021,5941063
46638,Sint Maarten (Dutch part),SXM,2021,44061
46897,Slovakia,SVK,2021,5447621
47156,Slovenia,SVN,2021,2119408
47415,Solomon Islands,SLB,2021,707855
47674,Somalia,SOM,2021,17065588
47933,South Africa,ZAF,2021,59392256
48192,South America,,2021,434254167
48451,South Korea,KOR,2021,51830136
48675,South Sudan,SSD,2021,10748278
48934,Spain,ESP,2021,47486932
49193,Sri Lanka,LKA,2021,21773438
49452,Sudan,SDN,2021,45657204
49711,Suriname,SUR,2021,612989
50023,Sweden,SWE,2021,10467095
50282,Switzerland,CHE,2021,8691409
50541,Syria,SYR,2021,21324366
50800,Taiwan,TWN,2021,23859904
51059,Tajikistan,TJK,2021,9750078
51318,Tanzania,TZA,2021,63588332
51577,Thailand,THA,2021,71601104
51836,Togo,TGO,2021,8644829
51913,Tokelau,TKL,2021,1869
52163,Tonga,TON,2021,106034
52407,Trinidad and Tobago,TTO,2021,1525671
52666,Tunisia,TUN,2021,12262949
52925,Turkey,TUR,2021,84775408
53184,Turkmenistan,TKM,2021,6341850
53290,Turks and Caicos Islands,TCA,2021,45141
53512,Tuvalu,TUV,2021,11229
54000,Uganda,UGA,2021,45853780
54259,Ukraine,UKR,2021,43531424
54518,United Arab Emirates,ARE,2021,9365149
54777,United Kingdom,GBR,2021,67281040
55036,United States,USA,2021,336997632
55148,United States Virgin Islands,VIR,2021,100100
55407,Upper-middle-income countries,,2021,2548718303
55666,Uruguay,URY,2021,3426265
55925,Uzbekistan,UZB,2021,34081452
56174,Vanuatu,VUT,2021,319146
56634,Venezuela,VEN,2021,28199862
56893,Vietnam,VNM,2021,97468024
56967,Wallis and Futuna,WLF,2021,11654
57092,Western Sahara,ESH,2021,565590
57351,World,OWID_WRL,2021,7909295104
57610,Yemen,YEM,2021,32981644
57992,Zambia,ZMB,2021,19473132
58251,Zimbabwe,ZWE,2021,15993525
