,SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,TPopulation1Jan,TPopulation1July,TPopulationMale1July,TPopulationFemale1July,PopDensity,PopSexRatio,MedianAgePop,NatChange,NatChangeRT,PopChange,PopGrowthRate,DoublingTime,Births,Births1519,CBR,TFR,NRR,MAC,SRB,Deaths,DeathsMale,DeathsFemale,CDR,LEx,LExMale,LExFemale,LE15,LE15Male,LE15Female,LE65,LE65Male,LE65Female,LE80,LE80Male,LE80Female,InfantDeaths,IMR,LBsurvivingAge1,Under5Deaths,Q5,Q0040,Q0040Male,Q0040Female,Q0060,Q0060Male,Q0060Female,Q1550,Q1550Male,Q1550Female,Q1560,Q1560Male,Q1560Female,NetMigrations,CNMR
38072,255,858,,URY,UY,858,4,Country/Area,931,Uruguay,2,Medium,2022,3422.617,3422.794,1658.372,1764.421,19.7625,93.9896,35.4486,1.848,0.54,0.353,0.01,,35.668,4.145,10.419,1.4826,0.7111,28.359,105.6,33.82,16.841,16.979,9.879,77.9998,74.1466,81.6848,63.6541,59.8304,67.2977,18.7873,15.9657,21.0821,9.6944,7.6628,10.858,0.206,5.7735,35.49,0.249,6.9328,35.8431,47.9477,23.1728,116.1729,148.8637,82.8932,51.2063,67.8484,34.0275,108.5243,140.7425,75.8136,-1.5,-0.438
38224,256,862,,VEN,VE,862,4,Country/Area,931,Venezuela (Bolivarian Republic of),2,Medium,2022,28047.658,28301.696,13996.792,14304.904,30.882,97.8461,28.2287,210.364,7.473,508.075,1.795,38.6154,438.384,105.109,15.573,2.188,1.0358,26.333,105.3,228.02,130.349,97.671,8.1,71.1049,66.8747,75.6546,57.5904,53.4349,62.0399,15.4125,13.6726,16.9294,6.185,5.3513,6.7339,6.479,14.7606,432.686,7.781,17.5455,86.7654,125.1846,44.8666,195.8563,260.4757,126.842,103.7213,150.6894,53.2621,178.5188,242.5973,110.4133,297.713,10.576
38376,257,905,,,,21,2,Geographic region,1840,Northern America,2,Medium,2022,375916.8,376870.696,186671.948,190198.748,20.2056,98.1457,38.1524,660.768,1.756,1907.792,0.506,136.9856,4104.376,170.657,10.909,1.6428,0.7902,29.841,104.9,3443.608,1845.894,1597.714,9.153,78.6632,76.0106,81.3929,64.1988,61.5745,66.8949,19.7376,18.2836,21.0743,9.7757,8.9236,10.4454,20.256,4.9347,4086.945,23.842,5.7971,36.9825,48.5378,24.9051,123.9081,154.4643,92.2406,56.6209,73.6852,38.8915,117.7747,148.002,86.4959,1247.03,3.314
38528,258,60,19,BMU,BM,60,4,Country/Area,918,Bermuda,2,Medium,2022,64.236,64.184,30.929,33.255,1188.5926,93.0056,45.3189,-0.107,-1.67,-0.104,-0.162,,0.482,0.011,7.503,1.3674,0.6651,32.242,104,0.589,0.307,0.282,9.173,81.5711,78.4348,84.5067,66.8519,63.7769,69.7166,20.3137,18.0239,22.2222,9.46,8.1261,10.3226,0.001,2.1097,0.481,0.001,2.6615,17.8459,24.4426,11.3729,75.0035,97.8534,51.5188,31.4279,42.178,20.6484,71.6901,93.7738,49.0503,0,0
38680,259,124,,CAN,CA,124,4,Country/Area,918,Canada,2,Medium,2022,38290.846,38454.327,19110.317,19344.011,4.2288,98.7919,40.3812,78.376,2.044,326.962,0.85,81.5467,376.188,6.648,9.814,1.4663,0.7064,31.184,105.4,297.812,152.829,144.982,7.77,82.8471,80.8678,84.7966,68.2862,66.3218,70.2181,21.437,20.0721,22.6856,10.2833,9.3644,11.0075,1.481,3.9355,374.917,1.726,4.5841,20.3077,25.5343,14.7982,66.6995,81.3975,51.6566,28.6242,36.6855,20.3142,61.6297,76.1089,46.8295,248.586,6.485
38832,260,304,17,GRL,GL,304,4,Country/Area,918,Greenland,2,Medium,2022,56.367,56.466,29.651,26.816,0.1376,110.5722,34.1709,0.29,5.147,0.198,0.351,,0.796,0.061,14.092,1.9577,0.9321,27.998,105,0.506,0.323,0.183,8.945,72.5819,70.1172,75.95,58.543,56.1807,61.8026,15.1172,13.659,17.1308,6.8985,6.1403,7.5553,0.007,8.5888,0.79,0.008,10.3608,50.2948,59.3804,40.6747,173.1003,206.5376,133.0694,76.6383,91.0852,60.1387,161.6993,194.039,122.8986,-0.1,-1.77
38984,261,666,2,SPM,PM,666,4,Country/Area,918,Saint Pierre and Miquelon,2,Medium,2022,5.872,5.862,2.914,2.947,25.487,98.8804,43.9854,-0.027,-4.455,-0.02,-0.341,,0.044,0.003,7.575,1.5594,0.7518,28.582,105.4,0.071,0.038,0.033,12.03,77.6083,74.0083,81.6927,63.4288,59.9995,67.3164,17.2496,15.0717,19.4079,7.7682,6.5813,8.4323,0,7.7723,0.044,0,9.2483,25.7441,37.4755,13.0427,95.1526,134.6898,50.5985,33.8995,51.2766,15.3981,85.3541,122.7625,43.226,0,0
39136,262,840,31,USA,US,840,4,Country/Area,918,United States of America,2,Medium,2022,337499.479,338289.857,167498.138,170791.72,36.9813,98.0716,37.889,582.21,1.723,1580.756,0.467,,3726.867,163.934,11.033,1.6611,0.7988,29.715,104.8,3144.657,1692.408,1452.249,9.31,78.2028,75.4794,81.0153,63.747,61.0529,66.5246,19.5389,18.0699,20.889,9.7122,8.8654,10.3772,18.768,5.0351,3710.714,22.108,5.9188,38.839,51.1066,26.0304,130.3702,162.6489,96.8752,59.8019,77.8559,41.03,124.1462,156.0919,91.0484,998.54,2.956
39288,263,909,,,,9,2,Geographic region,1840,Oceania,2,Medium,2022,44768.856,45038.552,22581.148,22457.404,5.3057,100.551,32.4327,397.157,8.832,539.393,1.198,57.8587,696.22,40.431,15.483,2.1441,1.0066,29.937,106.5,299.063,162.126,136.937,6.651,79.1675,76.8141,81.6281,65.991,63.7388,68.3328,20.7169,19.4086,21.9949,9.8931,9.1528,10.5186,10.933,15.7092,686.798,13.555,19.4695,48.5162,57.4189,39.2151,117.9415,142.7769,92.4039,50.0946,62.67,37.1999,97.0796,120.6908,72.967,142.462,3.168
39440,264,927,,,,53,3,Subregion,909,Australia/New Zealand,2,Medium,2022,31209.94,31362.702,15568.669,15794.033,3.9464,98.5731,37.1556,152.511,4.875,305.524,0.974,71.165,364.349,7.593,11.646,1.6263,0.7846,31.185,105.6,211.838,109.956,101.882,6.771,83.4751,81.6267,85.3206,68.8233,66.9964,70.6443,21.7072,20.4907,22.8665,10.1493,9.4075,10.7736,1.068,2.9326,363.434,1.284,3.519,16.8609,21.5639,12.0432,61.3322,75.8839,46.816,26.8206,34.5801,18.9831,57.3047,71.5717,43.1039,152.983,4.89
39592,265,36,32,AUS,AU,36,4,Country/Area,927,Australia,2,Medium,2022,26046.256,26177.413,12998.348,13179.066,3.4075,98.6288,37.2382,122.307,4.684,262.315,1.002,69.1764,300.246,5.737,11.5,1.5989,0.7714,31.29,105.6,177.939,92.357,85.582,6.816,83.5788,81.708,85.4531,68.9144,67.0647,70.7645,21.7522,20.5266,22.9249,10.1496,9.4089,10.7761,0.844,2.8123,299.523,1.019,3.3844,16.4089,21.146,11.5649,60.2027,75.0126,45.409,26.437,34.3067,18.4837,56.3213,70.853,41.8361,139.991,5.362
39744,266,554,33,NZL,NZ,554,4,Country/Area,927,New Zealand,2,Medium,2022,5163.684,5185.288,2570.321,2614.968,19.5743,98.2927,36.6992,30.208,5.833,43.209,0.833,83.2109,64.103,1.856,12.378,1.7623,0.85,30.723,105.3,33.895,17.6,16.295,6.545,83.0056,81.2506,84.7259,68.4135,66.682,70.1068,21.5229,20.3335,22.6304,10.2093,9.4398,10.8381,0.224,3.4962,63.911,0.265,4.1525,19.0355,23.5468,14.3725,66.7967,80.0757,53.6311,28.713,35.889,21.4801,62.0826,75.0413,49.2697,12.999,2.51
39896,267,928,,,,54,3,Subregion,909,Melanesia,2,Medium,2022,12302.384,12413.348,6376.857,6036.491,23.4039,105.6385,22.2968,227.378,18.312,221.928,1.788,38.7666,307.363,30.921,24.754,3.1409,1.4207,29.234,107.6,79.985,48.022,31.963,6.442,66.924,64.3823,70.0085,55.0512,52.644,57.9858,13.206,12.0347,14.5957,6.0448,5.5068,6.5685,9.484,30.8633,299.19,11.808,38.5022,97.523,112.763,81.2396,249.338,294.2736,199.0422,105.8454,128.4503,81.8882,213.1092,257.2718,163.929,-5.45,-0.439
40048,268,242,,FJI,FJ,242,4,Country/Area,928,Fiji,2,Medium,2022,926.466,929.766,466.14,463.626,50.8903,100.5422,26.9773,10.15,10.896,6.6,0.71,97.6264,17.821,1.056,19.131,2.4619,1.1468,28.764,107.1,7.671,4.089,3.582,8.235,68.3119,66.4646,70.2392,55.042,53.286,56.8626,12.5581,11.3882,13.5926,5.6951,5.0832,6.069,0.32,17.9314,17.538,0.387,21.6865,56.5604,61.3035,51.62,229.3373,260.8755,195.6744,84.1301,94.8376,72.9469,209.2558,240.041,176.5396,-3.557,-3.818
40200,269,540,2,NCL,NC,540,4,Country/Area,928,New Caledonia,2,Medium,2022,288.413,289.95,144.196,145.755,15.8616,98.9301,33.5825,2.57,8.869,3.075,1.061,65.3296,4.095,0.223,14.135,2.0011,0.957,29.431,105.9,1.525,0.899,0.626,5.266,80.998,77.5248,84.6124,67.0015,63.5727,70.5596,21.0014,18.6956,23.2139,11.0286,9.3382,12.2675,0.038,9.3839,4.062,0.045,10.8963,29.7142,39.9107,19.3416,91.0114,121.7916,59.5348,36.3451,53.9884,18.7342,79.5037,109.6485,48.7881,0.5,1.726
40352,270,598,,PNG,PG,598,4,Country/Area,928,Papua New Guinea,2,Medium,2022,10048.412,10142.618,5232.314,4910.304,22.3968,106.5578,21.9727,189.207,18.653,188.413,1.858,37.3061,254.718,26.569,25.112,3.1645,1.4218,29.342,107.7,65.511,40.027,25.484,6.459,65.958,63.3776,69.1723,54.3577,51.9136,57.4239,12.7331,11.6318,14.112,5.5706,5.1672,5.9857,8.619,33.8369,247.322,10.77,42.3783,105.9022,122.6395,87.8726,261.7832,309.7417,207.3562,112.5576,137.3466,86.079,222.4709,269.868,168.9412,-0.8,-0.079
40504,271,90,,SLB,SB,90,4,Country/Area,928,Solomon Islands,2,Medium,2022,716.218,724.272,369.9,354.373,25.1518,104.3814,19.3731,17.717,24.434,16.109,2.224,31.1667,21.262,2.102,29.322,3.9247,1.826,29.016,107,3.545,1.988,1.556,4.888,70.7424,69.2943,72.3575,57.4403,56.1554,58.8728,13.8053,13.1152,14.5347,5.7586,5.5197,6.0123,0.331,15.5666,20.96,0.392,18.5314,61.2782,67.8267,54.373,183.0048,204.9689,158.8659,75.9274,83.6908,67.9952,162.6039,182.7229,140.5665,-1.6,-2.206
40656,272,548,,VUT,VU,548,4,Country/Area,928,Vanuatu,2,Medium,2022,322.875,326.74,164.308,162.433,26.804,101.1546,19.5434,7.73,23.656,7.731,2.366,29.2962,9.466,0.971,28.968,3.6967,1.7174,28.64,107,1.736,1.018,0.718,5.312,70.4918,68.3162,73.0665,57.4171,55.3523,59.8681,13.9157,12.8232,15.3604,6.0842,5.6517,6.5755,0.178,18.8289,9.308,0.215,22.7947,64.041,73.6533,54.4948,188.7604,222.7148,155.2106,77.8254,91.3943,63.9062,165.9133,198.8137,133.7448,0,0
40808,273,954,,,,57,3,Subregion,909,Micronesia,2,Medium,2022,536.331,539.013,271.443,267.569,174.7771,101.448,26.2578,7.114,13.178,5.363,0.995,69.663,10.684,0.882,19.791,2.7735,1.2788,29.204,107.5,3.57,2.038,1.532,6.613,72.6745,69.7711,75.7417,60.0223,57.2442,62.9341,17.2009,15.5507,18.6936,9.1156,8.3132,9.6412,0.235,22.0257,10.481,0.292,27.1243,72.4436,83.6454,60.5341,192.3338,230.9754,151.3655,83.7355,101.695,65.2151,165.4852,202.9054,126.1028,-1.642,-3.042
40960,274,316,29,GUM,GU,316,4,Country/Area,954,Guam,2,Medium,2022,171.182,171.774,86.446,85.329,317.5129,101.3096,29.9397,1.69,9.824,1.185,0.69,100.4561,2.817,0.23,16.374,2.5496,1.208,29.006,107,1.127,0.654,0.473,6.55,78.3303,74.8376,82.0455,64.3752,60.847,68.1271,20.4207,18.3004,22.34,11.1291,9.9287,11.9845,0.027,9.7047,2.793,0.032,11.3431,38.3562,47.9684,27.8094,141.3824,182.6131,96.6144,58.8087,79.2638,37.4793,129.6292,171.2783,84.4149,-0.5,-2.906
41112,275,296,,KIR,KI,296,4,Country/Area,954,Kiribati,2,Medium,2022,130.077,131.232,63.943,67.289,180.7596,95.0267,22.0339,2.699,20.541,2.309,1.76,39.3834,3.512,0.231,26.723,3.2708,1.4715,29.6,107.1,0.813,0.405,0.407,6.182,67.661,65.7315,69.3859,56.4589,54.8486,57.804,13.6262,12.7263,14.1982,5.7506,5.3969,5.9082,0.131,37.4267,3.4,0.165,46.994,99.186,109.7793,88.3871,228.3751,257.3868,200.4534,90.8588,101.4727,81.1168,183.8078,209.4785,159.951,-0.4,-3.043
41264,276,584,,MHL,MH,584,4,Country/Area,954,Marshall Islands,2,Medium,2022,41.354,41.569,21.222,20.346,230.9389,104.3054,25.4722,0.441,10.605,0.43,1.034,67.0355,0.77,0.098,18.524,2.6722,1.2017,27.668,107,0.329,0.188,0.141,7.919,65.1463,63.5457,67.0924,52.6636,51.1583,54.5115,12.6372,11.5692,13.9345,5.7499,5.2583,6.0975,0.019,24.5097,0.753,0.024,29.9059,113.3676,115.9943,110.6786,294.0638,320.6739,265.207,143.4842,150.8602,135.9818,265.5875,291.6772,237.3623,0,0
41416,277,583,,FSM,FM,583,4,Country/Area,954,Micronesia (Fed. States of),2,Medium,2022,113.638,114.164,57.387,56.777,163.0914,101.0744,23.6801,1.65,14.409,1.052,0.921,75.2603,2.368,0.21,20.684,2.6685,1.247,29.857,107,0.718,0.426,0.292,6.275,70.9255,67.3249,74.8234,57.84,54.4109,61.5246,14.2665,12.4547,15.9449,6.3599,5.5867,6.7715,0.045,18.9212,2.328,0.054,22.8161,62.6562,80.8783,42.921,184.6653,241.6636,125.3441,75.3756,102.8758,46.566,162.0177,217.3868,104.9759,-0.6,-5.241
41568,278,520,,NRU,NR,520,4,Country/Area,954,Nauru,2,Medium,2022,12.609,12.668,6.435,6.233,633.4,103.2408,20.271,0.257,20.203,0.118,0.931,74.4519,0.341,0.039,26.785,3.4626,1.5704,27.391,107.2,0.084,0.05,0.034,6.582,64.0136,60.5199,67.8412,50.7279,47.1934,54.5969,12.7128,10.8926,14.2551,5.8755,5.2328,6.2904,0.005,15.3369,0.336,0.007,19.0288,124.7934,144.2393,104.2329,340.1747,411.9443,261.057,183.5405,224.9813,139.206,321.4538,394.7958,240.6962,-0.14,-10.986
